City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,murzuq,25.9155,13.9184,21.34,28,0,3.95,LY,1698631784
294,ambon,-3.6954,128.1814,31.08,66,20,2.06,ID,1698631770
295,sonoita,31.85,-112.8333,17.78,12,0,4.28,MX,1698631784
296,karatau,43.1667,70.4667,15.7,49,100,2.97,KZ,1698631785
297,lavagna,44.3079,9.3422,20.19,91,100,1.79,IT,1698631785
298,urangan,-25.3,152.9,22.04,57,0,3.06,AU,1698631785
299,humen,22.819,113.6731,24.91,75,96,1.43,CN,1698631786
300,mhamid,29.82,-5.72,23.87,25,100,7.18,MA,1698631786
301,saipan,15.1355,145.701,31.39,74,40,7.2,MP,1698631787
302,whitecourt,54.1502,-115.6855,2.58,48,75,2.06,CA,1698631560
303,mirnyy,62.5353,113.9611,-8.81,91,100,2.7,RU,1698631787
304,beira,-19.8436,34.8389,22.05,100,40,7.2,MZ,1698631788
305,bodaybo,57.8506,114.1933,-5.88,46,100,2.51,RU,1698631788
306,kitimat,54.0524,-128.6534,3.17,69,81,0.53,CA,1698631789
307,yung shue wan,22.2333,114.1167,26.85,74,78,0.45,HK,1698631789
308,lengshuitan,26.4111,111.5956,23.64,65,0,0.82,CN,1698631789
309,akrehamn,59.2667,5.1833,8.01,57,100,5.14,NO,1698631790
310,miyako,39.6367,141.9525,14.51,76,90,2.79,JP,1698631790
311,afega,-13.7973,-171.8531,27.65,77,98,4.79,WS,1698631790
312,escarcega,18.6089,-90.7454,22.64,83,1,0.46,MX,1698631791
313,kataysk,56.289,62.5841,-2.48,96,100,5.57,RU,1698631791
314,prince rupert,54.3161,-130.3201,7.83,79,0,1.54,CA,1698631511
315,along,28.1667,94.7667,21.41,58,0,0.4,IN,1698631792
316,san,13.3034,-4.8956,29.56,26,43,3.24,ML,1698631792
317,ulanhot,46.0833,122.0833,7.05,15,6,4.21,CN,1698631632
318,paragominas,-2.9667,-47.4833,25.29,62,5,1.61,BR,1698631499
319,colchani,-20.3,-66.9333,7.25,25,17,4.36,BO,1698631793
320,nadi,-17.8,177.4167,31.0,62,20,7.72,FJ,1698631793
321,alaghsas,17.0187,8.0168,25.53,11,3,4.47,NE,1698631794
322,kimbe,-5.5502,150.1429,29.02,78,85,0.84,PG,1698631794
323,daru,-9.0763,143.2092,26.3,81,100,7.86,PG,1698631794
324,amarpur,25.0333,86.9,23.05,65,1,0.72,IN,1698631795
325,faya-largeau,17.9257,19.1043,25.18,18,6,7.98,TD,1698631795
326,hassi messaoud,31.6804,6.0729,25.99,21,56,4.78,DZ,1698631747
327,oeiras do para,-2.0031,-49.8544,28.04,65,76,2.74,BR,1698631796
